person_id,age_band,gender,region,education,policy_support_0_10,selection_propensity,sampled,poststrat_weight,raked_weight
P00014,60+,Woman,Midlands,Degree,6.3,0.035381,1,0.9024852071005918,1.2876376365915312
P00034,45-59,Woman,London,No degree,7.6,0.05165,1,0.8886324786324786,0.7975782928932811
P00036,30-44,Woman,Midlands,No degree,2.0,0.038239,1,1.0373821989528795,1.0797299063318317
P00037,45-59,Man,London,No degree,7.7,0.05165,1,0.8886324786324786,0.7975782928932811
P00069,45-59,Man,North,No degree,8.0,0.043192,1,0.8886324786324786,0.9125361920115775
P00072,45-59,Woman,London,Degree,7.0,0.067212,1,0.6375257731958762,0.49774176327748904
P00076,60+,Woman,North,Degree,10.0,0.035381,1,0.9024852071005918,1.2606649450048188
P00104,30-44,Woman,Scotland/Wales,No degree,7.9,0.033374,1,1.0373821989528795,1.2103502094829488
P00162,30-44,Man,North,Degree,5.9,0.057214,1,0.6961,0.6597082290664027
P00199,60+,Man,North,Degree,6.3,0.035381,1,0.9024852071005918,1.2606649450048188
P00203,30-44,Man,Midlands,Degree,5.9,0.057214,1,0.6961,0.6738230869993773
P00227,18-29,Woman,London,Degree,5.6,0.060918,1,0.8527935222672065,0.6542638188747341
P00345,60+,Woman,South,Degree,5.5,0.035381,1,0.9024852071005918,1.3129087016541312
P00349,18-29,Woman,South,Degree,6.8,0.053563,1,0.8527935222672065,0.7795868891990588
P00386,60+,Woman,Scotland/Wales,No degree,4.6,0.015204,1,2.3322522522522524,2.312910485342466
P00395,45-59,Woman,South,No degree,6.8,0.043192,1,0.8886324786324786,0.9503529957055676
P00418,18-29,Woman,South,Degree,3.9,0.053563,1,0.8527935222672065,0.7795868891990588
P00423,30-44,Man,South,No degree,5.3,0.038239,1,1.0373821989528795,1.1009205922340977
P00437,60+,Woman,North,Degree,7.6,0.035381,1,0.9024852071005918,1.2606649450048188
P00464,45-59,Man,North,Degree,4.6,0.061237,1,0.6375257731958762,0.5694831182261657
